instrumentNumber,APN,Building #,Section #,Year Built,Effective Year Built,Gross Building Area (SF),Office Area (SF),Warehouse Area (SF),Storage Area (SF),Parking (SF),Is GLA,Construction,Comments
2019-6325,R000035215,1,1,1982,,"8,763",,,,,TRUE,"Brick, Metal Studs, Slab Foundation",
2019-6325,R000035215,2,1,1982,,"23,380",,,,"23,380",FALSE,,Parking Lot
2023-22813,R000224424,1,1,1988,,"3,700",,,,,TRUE,"Brick, Slab Foundation, Wood Studs, Other",Main Church Building
2023-22813,R000224424,2,1,1988,,"5,750",,,,"5,750",FALSE,,Parking Lot
2020-8748,R000031037,1,1,1981,,"6,500",,,,,TRUE,,Main Office Building
2020-8748,R000031037,2,1,1981,,"14,000",,,,"14,000",FALSE,,Parking Lot
2023-00008592,14400.01690.00000,1,1,1977,,"5,214",,,,,TRUE,"Brick, Concrete, METAL",Main Building
2023-00008592,14400.01690.00000,2,1,1980,,"14,620",,,,"14,620",FALSE,,Parking Lot - Asphalt
2024-00015386,26200.00890.00000,1,1,1975,,"6,735",,,,,TRUE,BRICK,Main Building
2024-00015386,26200.00890.00000,1,2,1975,,498,,,,,FALSE,FRAME,Covered Patio
2024-00015386,26200.00890.00000,1,3,1975,,575,,,,,FALSE,FRAME,Covered Patio
2024-00015386,26200.00890.00000,1,4,1975,,300,,300,300,,FALSE,,Storage
2024-00015386,26200.00890.00000,1,4,1975,,300,,,,"21,640",FALSE,Parking,parking
2010-15773,R000035038,1,1,1998,,"4,522",,,,,TRUE,COMM BLDG,"CAD had building at 4,656"
2010-15773,R000035038,2,1,1998,,570,,,,570,FALSE,PARKING LT,
2010-15773,R000035038,3,1,1998,,"1,782",,,,"1,782",FALSE,CONC PRK LOT,
2010-15773,R000035035,1,1,1998,,"10,074",,,,"10,074",FALSE,PARKING LT,
2010-15773,R000035035,2,1,1998,,,,,,196,FALSE,CONC PRK LOT,
2010-15773,R000035035,3,1,1998,,,,,,154,FALSE,CONC PRK LOT,
2006-1743,R000029035,1,1,1999,,,,,,"14,000",FALSE,PARKING LT,
2006-1743,R000029037,1,1,1975,,"8,784",,,,,TRUE,COMM BLDG,
2006-1743,R000029037,1,2,1975,,"2,088",,,,,TRUE,UPSTAIRS,Part of main building
2006-1743,R000029037,2,1,1959,,,,,,"4,000",FALSE,PARKING LT,
2024-11626,R000051755,1,1,1960,,"6,091",,,,,TRUE,COMM BLDG,Main office building
2024-11626,R000051755,1,2,1960,,300,,,300,,FALSE,BASEMENT,Basement area
2024-11626,R000051755,2,1,1960,,720,,,,720,FALSE,GARAGE,3-Car Garage
2024-11626,R000051755,3,1,1960,,312,,,,,TRUE,COMM BLDG,Smaller commercial building/addition
2024-11626,R000051756,1,1,1939,,"1,774",,,,,TRUE,RESIDENCE,Residential structure
2024-11626,R000051756,2,1,1939,,406,,,,406,FALSE,CARPORT/STORAGE,Carport with storage
202400125721,38-12861-000-001-0000,1,1,2011,,"10,507",,,,,TRUE,Masonry,Main church building. Foundation: Slab. Heat: Central. A/C: Central.
202400189021,20-03660-00A-03A-0000,1,1,1986,,"12,000",,,,,TRUE,"Steel Siding, Slab",Main church building. Foundation: Slab. Heat: Central. A/C: Central.
202400189021,20-03660-00A-03A-0000,2,1,1986,,"21,371",,,,21370.62,FALSE,PARKING LOT,Parking lot for church property.
202400189021,65-11293-951-005-0000,1,1,,,"30,666",,,,30665.88,FALSE,PARKING LOT,Additional parking lot parcel. CAD shows no improvements for this parcel.
202400125721,38-12861-000-001-0000,2,1,,,"8,237",,,,8237,FALSE,PARKING LOT,Parking lot for church property.
202400125721,38-12861-000-002-0000,1,1,,,"26,481",,,,26481.2,FALSE,PARKING LOT,Parking lot.
2024-11626,R000051756,2,2,,,,,,,9000,FALSE,PARKING LOT,parking lot
113996,8235,1,1,1985,,"1,974",,,,,TRUE,Retail Store (Steel Frame - BB3),"CAD Type: RTL STR, Class: BB3"
113996,8235,2,1,1985,,"3,372",,,,3372,FALSE,Asphalt Parking,CAD Type: AP
113996,8235,3,1,1985,,558,,,,,FALSE,Concrete Slab,"CAD Type: SLB, Class: C"
113996,8235,4,1,1985,,616,,,616,,FALSE,Storage Building (Frame - S4F),"CAD Type: ST, Class: S4F"
197291,1587,1,1,1985,,"3,210",,,,,TRUE,Brick,"CAD Type: REST 2, Class: BB2"
197291,1587,1,2,2004,,208,,,,,FALSE,Concrete,CAD Type: COM PCH
197291,1587,1,3,2004,,144,,,,,FALSE,Concrete,CAD Type: COM PCH
197291,1587,1,4,2004,,,,,,8725,FALSE,Asphalt,Parking Lot
111187,1644,1,1,1990,,"2,875",,,,,TRUE,Retail Store (M1),"CAD Type: RTL STR, Class: M1. Effective Year: 1990. Year Built in CAD is 0, using Eff Year."
198330,2900,1,1,1985,,"1,380",,,,,TRUE,Brick,"CAD Type: OFF 1, Class: BB2. Year Built in CAD is 0, assumed 1985 based on other improvements."
198330,2900,1,2,0,,20,,,,,FALSE,Concrete,"CAD Type: COM PCH, Class: GDBB2. Year Built in CAD is 0."
198330,2900,2,1,1985,,"4,184",,,,4184,FALSE,Concrete,Parking Lot
198330,2900,3,1,1985,,131,,,131,,FALSE,,"CAD Type: ST, Class: S4"
192587,1585,1,1,1965,,"2,080",,,,,TRUE,Restaurant (BB3),"CAD Type: REST 2, Class: BB3. Year Built in CAD is 0."
192587,1585,2,1,1965,,,,,,8300,FALSE,Parking Lot,CAD Type: AP. Year Built in CAD is 0.
192587,1585,3,1,1965,,"1,020",,,,,FALSE,Concrete,CAD Type: CONC. Year Built in CAD is 0.
192587,1585,4,1,1965,,80,,,80,,FALSE,Storage (S2),"CAD Type: ST, Class: S2. Year Built in CAD is 0."
194442,358783,1,1,1965,,"3,000",,,,,TRUE,Retail Store (BB3),"CAD Type: RTL STR, Class: BB3. Year Built in CAD is 0."
194442,358783,1,2,1965,,100,,,,,FALSE,Commercial Porch,CAD Type: COM PCH. Year Built in CAD is 0.
151593,1781,1,1,1965,,"5,318",,,,,TRUE,Retail Store (BB3),"CAD Type: RTL STR, Class: BB3. Year Built in CAD is 0. User provided building size is 5,318 SF, CAD shows 6,612 SF for this improvement."
151593,1781,1,2,,,912,,,,,FALSE,Porch,CAD Type: COM PCH. Year Built in CAD is 0.
151593,1781,1,3,,,528,,,,,FALSE,Porch,CAD Type: COM PCH. Year Built in CAD is 0.
20-3091,2542,1,1,1975,,"1,344",,,,,TRUE,"Stone, Concrete","CAD Type: COMMERCIAL, Class CD: POF Office"
20-3091,2542,2,1,1987,,0,,,,500,FALSE,Asphalt Paving,"CAD Type: COMMERCIAL, Class CD: PVA"
2003-6063,R000017667,1,1,2003,,"15,280",,,,,TRUE,Commercial Building,Main building structure. CAD Type: COMM
2003-6063,R000017667,2,1,2003,,"3,400",,,,3400,FALSE,Canopy (Drive Through),Bank drive-through. CAD Type: CNPY
2003-6063,R000017667,3,1,2003,,"6,615",,,,6615,FALSE,Canopy (Covered Parking),Covered parking structure. CAD Type: CNPY
2003-6063,R000017667,4,1,2003,,"1,911",,,,1911,FALSE,Canopy (Covered Parking),Covered parking structure. CAD Type: CNPY
2003-6063,R000017667,5,1,2003,,"45,600",,,,45600,FALSE,Parking Lot,Paved parking area. CAD Type: PKLT
2003-6063,R000017667,6,1,2003,,"6,600",,,,6600,FALSE,Parking Lot,Paved parking area. CAD Type: PKLT
2024-00001093,22000.02840.00000,1,1,1960,,"14,826",,,,,TRUE,"Steel Frame, Brick/Stone/Stucco Veneer",Main building structure. CAD Type: B73M
2024-00001093,22000.02840.00000,2,1,1989,,"2,097",,,,,FALSE,"Bank Drive-Thru, Brick",CAD Type: BC8M - ignored 2097
2024-00001093,22000.02840.00000,3,1,1980,,"8,376",,,,,FALSE,Asphalt Paving,CAD Type: ASPM - ignored drive through paving 8376
2024-00023005,27750.00201.02000,1,1,1977,,"9,941",,,,,TRUE,"Frame, Brick/Stone/Stucco Veneer",Main building structure (condo unit). CAD Type: B43M
2022-26841,R000043066,1,1,1996,,"5,464",,,,,TRUE,Commercial Building,Main building structure. CAD Type: COMM
2022-26841,R000043066,2,1,1996,,"30,600",,,,30600,FALSE,Parking Lot,CAD Type: PKLT
2022-26841,R000043066,3,1,1996,,850,,,,850,FALSE,Concrete Parking Lot,CAD Type: CONC
2024000137740,R-4444-00A-0080-1,1,1,2006,,"8,140",,,,,TRUE,RC2,Main Area
